top - 16:53:30 up 26 min,  1 user,  load average: 22,32, 12,47, 5,66
Tareas: 387 total,   3 ejecutar,  384 hibernar,    0 detener,    0 zombie
%Cpu(s): 62,7 usuario, 37,3 sist,  0,0 adecuado,  0,0 inact,  0,0 en espera,  0,0 hardw int,  0,0 softw int,  0,0 robar tiempo
MiB Mem :  31971,6 total,  20311,7 libre,   6414,9 usado,   5244,9 búfer/caché
MiB Intercambio:   2048,0 total,   2048,0 libre,      0,0 usado.  24984,1 dispon Mem 

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM     HORA+ ORDEN
  10664 diego     20   0 1354752 208560  24620 R 673,3   0,6  22:42.59 python3
    325 root       0 -20       0      0      0 I   0,0   0,0   0:00.02 kworker/9:1H-kblockd
    326 root       0 -20       0      0      0 I   0,0   0,0   0:00.02 kworker/2:1H-kblockd
    328 root      20   0       0      0      0 S   0,0   0,0   0:00.43 jbd2/sdb5-8
    329 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ext4-rsv-conver
    333 root       0 -20       0      0      0 I   0,0   0,0   0:00.03 kworker/10:1H-kblockd
    342 root       0 -20       0      0      0 I   0,0   0,0   0:00.03 kworker/11:1H-kblockd
    344 root       0 -20       0      0      0 I   0,0   0,0   0:00.02 kworker/5:1H-kblockd
    371 root      19  -1   62880  23440  21648 S   0,0   0,1   0:00.38 systemd-journal
    421 root      20   0   25180   7760   4016 S   0,0   0,0   0:00.17 systemd-udevd
    472 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 led_workqueue
    515 root      20   0       0      0      0 I   0,0   0,0   0:00.47 kworker/u64:11-events_unbound
    519 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 cryptd
    612 root      20   0       0      0      0 S   0,0   0,0   0:00.00 nv_queue
    613 root      20   0       0      0      0 S   0,0   0,0   0:00.00 nv_queue
    619 root      20   0       0      0      0 S   0,0   0,0   0:00.00 nvidia-modeset/
    620 root      20   0       0      0      0 S   0,0   0,0   0:00.00 nvidia-modeset/
    622 root     -51   0       0      0      0 S   0,0   0,0   0:26.34 irq/69-nvidia
    623 root      20   0       0      0      0 S   0,0   0,0   0:00.00 nvidia
    624 root      20   0       0      0      0 S   0,0   0,0   0:00.32 nv_queue
    682 root      20   0       0      0      0 S   0,0   0,0   0:00.00 UVM global queu
    683 root      20   0       0      0      0 S   0,0   0,0   0:00.00 UVM deferred re
    694 root      20   0       0      0      0 S   0,0   0,0   0:00.00 UVM Tools Event
    916 systemd+  20   0   25888  14560   9300 S   0,0   0,0   0:00.28 systemd-resolve
    917 systemd+  20   0   90920   6048   5260 S   0,0   0,0   0:00.04 systemd-timesyn
    921 root      20   0  241492   7932   6824 S   0,0   0,0   0:00.06 accounts-daemon
    922 root      20   0    2548    704    636 S   0,0   0,0   0:00.06 acpid
    925 avahi     20   0    8528   4024   3524 S   0,0   0,0   0:00.41 avahi-daemon
    926 root      20   0   12040   2840   2636 S   0,0   0,0   0:00.00 cron
    927 root      20   0   31772   9796   7424 S   0,0   0,0   0:00.04 cupsd
    928 message+  20   0   10120   6868   3868 S   0,0   0,0   0:01.45 dbus-daemon
    929 root      20   0  339212  20216  17228 S   0,0   0,1   0:00.22 NetworkManager
    936 root      20   0   81944   3796   3464 S   0,0   0,0   0:00.11 irqbalance
    937 root      20   0   42532  20900  11952 S   0,0   0,1   0:00.05 networkd-dispat
    947 root      20   0  244344  11772   7744 S   0,0   0,0   0:00.90 polkitd
    950 syslog    20   0  224352   5176   3612 S   0,0   0,0   0:00.07 rsyslogd
    962 root      20   0 2587756  37952  24348 S   0,0   0,1   0:01.87 snapd
    963 root      20   0  238356   6020   5476 S   0,0   0,0   0:00.00 switcheroo-cont
    964 root      20   0    5180   1780   1632 S   0,0   0,0   0:00.00 nvidia-persiste
    966 root      20   0   17428   8300   7224 S   0,0   0,0   0:00.27 systemd-logind
    969 root      20   0  394108  13600  10152 S   0,0   0,0   0:00.26 udisksd
    970 root      20   0   13704   4968   4380 S   0,0   0,0   0:00.00 wpa_supplicant
    973 avahi     20   0    8348    328      0 S   0,0   0,0   0:00.00 avahi-daemon
   1029 colord    20   0  249508  15240   9784 S   0,0   0,0   0:00.12 colord
   1030 root      20   0  172548  11960  10112 S   0,0   0,0   0:00.13 cups-browsed
   1041 root      20   0  241380  11588   9796 S   0,0   0,0   0:00.03 ModemManager
   1043 root      20   0  419684  22232  17680 S   0,0   0,1   0:00.21 anydesk
   1052 root      20   0  242408   8732   7608 S   0,0   0,0   0:00.01 gdm3
   1056 root      20   0   12196   6736   5896 S   0,0   0,0   0:00.00 sshd
   1081 root      20   0  120776  22772  14592 S   0,0   0,1   0:00.03 unattended-upgr
   1088 root      20   0  169444   9084   7984 S   0,0   0,0   0:00.01 gdm-session-wor
   1101 lp        20   0   15312   6696   5880 S   0,0   0,0   0:00.00 dbus
   1115 gdm       20   0   19356   9988   8116 S   0,0   0,0   0:00.10 systemd
   1116 gdm       20   0  169584   3516     16 S   0,0   0,0   0:00.00 (sd-pam)
   1121 gdm        9 -11 1032872  18980  14024 S   0,0   0,1   0:00.12 pulseaudio
   1122 gdm       20   0  166812   6672   6036 S   0,0   0,0   0:00.00 gdm-x-session
   1124 gdm       20   0   24,2g  66472  46480 S   0,0   0,2   0:01.62 Xorg
   1125 rtkit     21   1  152936   2976   2740 S   0,0   0,0   0:00.01 rtkit-daemon
   1128 gdm       20   0    7248   3944   3588 S   0,0   0,0   0:00.00 dbus-daemon
   1204 gdm       20   0    5296   1028    856 S   0,0   0,0   0:00.00 dbus-run-sessio
   1205 gdm       20   0    7548   4616   3776 S   0,0   0,0   0:00.05 dbus-daemon
   1206 gdm       20   0  413172  15324  13104 S   0,0   0,0   0:00.05 gnome-session-b
   1209 gdm       20   0  305396   6784   6168 S   0,0   0,0   0:00.00 at-spi-bus-laun
   1214 gdm       20   0    7248   3912   3556 S   0,0   0,0   0:00.00 dbus-daemon
   1235 gdm       20   0 4188804 193736 108920 S   0,0   0,6   0:01.84 gnome-shell
   1266 gdm       20   0  313844   8516   7044 S   0,0   0,0   0:00.03 ibus-daemon
   1269 gdm       20   0  239424   7284   6664 S   0,0   0,0   0:00.00 ibus-dconf
   1272 gdm       20   0  191220  16876  15080 S   0,0   0,1   0:00.01 ibus-x11
   1274 gdm       20   0  239276   7352   6712 S   0,0   0,0   0:00.00 ibus-portal
   1285 gdm       20   0  162792   6572   5924 S   0,0   0,0   0:00.00 at-spi2-registr
   1301 gdm       20   0  238524   4808   4372 S   0,0   0,0   0:00.00 xdg-permission-
   1307 root      20   0  254992   9832   8532 S   0,0   0,0   0:00.10 upowerd
   1315 gdm       20   0 2933120  26732  21676 S   0,0   0,1   0:00.03 gjs
   1356 gdm       20   0  467636  10384   9228 S   0,0   0,0   0:00.02 gsd-sharing
   1358 gdm       20   0  338376  16644  14576 S   0,0   0,1   0:00.02 gsd-wacom
   1359 gdm       20   0  508948  20456  18008 S   0,0   0,1   0:00.04 gsd-color
   1360 gdm       20   0  338876  18004  15944 S   0,0   0,1   0:00.00 gsd-keyboard
   1361 gdm       20   0  251252  11520  10032 S   0,0   0,0   0:00.00 gsd-print-notif
   1362 gdm       20   0  459948   6108   5472 S   0,0   0,0   0:00.01 gsd-rfkill
   1363 gdm       20   0  318568  10340   9432 S   0,0   0,0   0:00.00 gsd-smartcard
   1366 gdm       20   0  376604  16248  14300 S   0,0   0,0   0:00.00 gsd-datetime
   1368 gdm       20   0  681720  20180  17648 S   0,0   0,1   0:00.02 gsd-media-keys
   1375 gdm       20   0  238356   6028   5512 S   0,0   0,0   0:00.00 gsd-screensaver
   1376 gdm       20   0  322352   9536   8504 S   0,0   0,0   0:00.00 gsd-sound
   1377 gdm       20   0  165600   7136   6528 S   0,0   0,0   0:00.00 ibus-engine-sim
   1378 gdm       20   0  312652   6876   6272 S   0,0   0,0   0:00.00 gsd-a11y-settin
   1382 gdm       20   0  314720   7508   6828 S   0,0   0,0   0:00.05 gsd-housekeepin
   1386 gdm       20   0  339760  18596  16348 S   0,0   0,1   0:00.02 gsd-power
   1426 gdm       20   0  345028  15164  13268 S   0,0   0,0   0:00.00 gsd-printer
   1498 root      20   0  169964  10108   8332 S   0,0   0,0   0:00.01 gdm-session-wor
   1504 diego     20   0   19960  10580   8116 S   0,0   0,0   0:00.31 systemd
   1505 diego     20   0  169900   3664     16 S   0,0   0,0   0:00.00 (sd-pam)
   1510 diego     20   0 1612784 187060  84588 S   0,0   0,6   0:04.27 kited
   1511 diego      9 -11 2346624  21136  15628 S   0,0   0,1   0:00.16 pulseaudio
   1514 diego     20   0  243176   7360   6400 S   0,0   0,0   0:00.06 gnome-keyring-d
   1524 diego     20   0    8648   5700   3864 S   0,0   0,0   0:00.35 dbus-daemon
   1538 diego     20   0  166812   6812   6172 S   0,0   0,0   0:00.00 gdm-x-session
   1540 diego     20   0   24,3g  83412  51760 S   0,0   0,3   0:13.21 Xorg
   1580 diego     20   0  191052  13732  12252 S   0,0   0,0   0:00.03 gnome-session-b
   1650 diego     20   0    6044    452      0 S   0,0   0,0   0:00.00 ssh-agent
   1672 diego     20   0  305436   6892   6244 S   0,0   0,0   0:00.00 at-spi-bus-laun
   1677 diego     20   0    7380   4280   3824 S   0,0   0,0   0:00.05 dbus-daemon
   1695 diego     20   0   92860   4316   3896 S   0,0   0,0   0:00.00 gnome-session-c
   1702 diego     20   0  627104  16516  13780 S   0,0   0,1   0:00.08 gnome-session-b
   1737 diego     20   0  242536   7908   6948 S   0,0   0,0   0:00.03 gvfsd
   1742 diego     20   0  378356   6460   5804 S   0,0   0,0   0:00.00 gvfsd-fuse
   1760 diego     20   0  387604   8548   7036 S   0,0   0,0   0:00.02 ibus-daemon
   1764 diego     20   0  239468   7172   6552 S   0,0   0,0   0:00.00 ibus-dconf
   1765 diego     20   0  276008  29320  18256 S   0,0   0,1   0:00.48 ibus-extension-
   1767 diego     20   0  196812  24784  18564 S   0,0   0,1   0:00.07 ibus-x11
   1770 diego     20   0  239276   7468   6836 S   0,0   0,0   0:00.02 ibus-portal
   1783 diego     20   0  162924   6572   5936 S   0,0   0,0   0:00.20 at-spi2-registr
   1787 diego     20   0  238524   4744   4312 S   0,0   0,0   0:00.00 xdg-permission-
   1789 diego     20   0  581452  20116  17172 S   0,0   0,1   0:00.06 gnome-shell-cal
   1800 diego     20   0  393436  25784  22080 S   0,0   0,1   0:00.05 evolution-sourc
   1806 diego     20   0  556256  34872  28688 S   0,0   0,1   0:00.04 goa-daemon
   1807 diego     20   0  317032   9920   7872 S   0,0   0,0   0:00.13 gvfs-udisks2-vo
   1813 diego     20   0 1120396  30980  26884 S   0,0   0,1   0:00.07 evolution-calen
   1815 diego     20   0  240904   7248   6416 S   0,0   0,0   0:00.01 gvfs-gphoto2-vo
   1821 diego     20   0  238700   6200   5676 S   0,0   0,0   0:00.01 gvfs-goa-volume
   1830 diego     20   0  317700   8952   7920 S   0,0   0,0   0:00.05 goa-identity-se
   1835 diego     20   0  238496   5848   5236 S   0,0   0,0   0:00.01 gvfs-mtp-volume
   1840 diego     20   0  319548   9040   8044 S   0,0   0,0   0:00.04 gvfs-afc-volume
   1851 diego     20   0  156376   5796   4976 S   0,0   0,0   0:00.01 dconf-service
   1857 diego     20   0  750236  30412  26780 S   0,0   0,1   0:00.04 evolution-addre
   1872 diego     20   0 2933220  27148  21912 S   0,0   0,1   0:00.05 gjs
   1887 diego     20   0  316928   8812   7552 S   0,0   0,0   0:00.02 gvfsd-trash
   1894 diego     20   0  312660   6992   6384 S   0,0   0,0   0:00.00 gsd-a11y-settin
   1895 diego     20   0  587612  27536  20684 S   0,0   0,1   0:00.12 gsd-color
